0x0000 Type: 0   Name: UNKNOWN                                      flags: 0x0002 TYPE_TCP_WCHAR_STR
0x0101 Type: 3   Name: DAMAGE_PLAYER_COUNT                          flags: 0x00E7 TYPE_TCP_UINT32
0x0102 Type: 3   Name: DAMAGE_SELF                                  flags: 0x00E8 TYPE_TCP_UINT32
0x0103 Type: 3   Name: DAMAGE_SELF_COUNT                            flags: 0x00E9 TYPE_TCP_UINT32
0x0104 Type: 3   Name: DAMAGE_TAKEN                                 flags: 0x00EA TYPE_TCP_UINT32
0x0105 Type: 3   Name: DAMAGE_TYPE_VALUE_ID                         flags: 0x00EB TYPE_TCP_UINT32
0x0106 Type: 0   Name: DATABASE_CHAT                                flags: 0x00EC TYPE_TCP_WCHAR_STR
0x0107 Type: 0   Name: DATABASE_GAME                                flags: 0x00ED TYPE_TCP_WCHAR_STR
0x0108 Type: 0   Name: DATABASE_LOGIN                               flags: 0x00EE TYPE_TCP_WCHAR_STR
0x0109 Type: 0   Name: DATABASE_LOGS                                flags: 0x00EF TYPE_TCP_WCHAR_STR
0x010A Type: 0   Name: DATABASE_STATS                               flags: 0x00F0 TYPE_TCP_WCHAR_STR
0x010B Type: 3   Name: DATA_CENTER_ID                               flags: 0x00F1 TYPE_TCP_UINT32
0x010C Type: 6   Name: DATA_SET                                     flags: 0x05DF TYPE_TCP_DATA_SET
0x010D Type: 6   Name: DATA_SET_ACHIEVEMENTS                        flags: 0x05F8 TYPE_TCP_DATA_SET
0x010E Type: 6   Name: DATA_SET_ACHIEVEMENT_GROUPS                  flags: 0x00F2 TYPE_TCP_DATA_SET
0x010F Type: 6   Name: DATA_SET_ACHIEVEMENT_REQS                    flags: 0x00F3 TYPE_TCP_DATA_SET
0x0110 Type: 6   Name: DATA_SET_ACHIEVEMENT_SEGMENTS                flags: 0x05F5 TYPE_TCP_DATA_SET
0x0111 Type: 6   Name: DATA_SET_ACHIEVEMENTS_SORT                   flags: 0x00F4 TYPE_TCP_DATA_SET
0x0112 Type: 6   Name: DATA_SET_ACHIEVEMENT_UNLOCK_ITEMS            flags: 0x00F5 TYPE_TCP_DATA_SET
0x0113 Type: 6   Name: DATA_SET_AGENCIES                            flags: 0x00F6 TYPE_TCP_DATA_SET
0x0114 Type: 6   Name: DATA_SET_AGENCY_CURRENCY_CHANGE              flags: 0x05FF TYPE_TCP_DATA_SET
0x0115 Type: 6   Name: DATA_SET_AGENCY_INVENTORY                    flags: 0x00F7 TYPE_TCP_DATA_SET
0x0116 Type: 6   Name: DATA_SET_ALLIANCES                           flags: 0x05F6 TYPE_TCP_DATA_SET
0x0117 Type: 6   Name: DATA_SET_ASM_MESH_ANIM_SETS                  flags: 0x00F8 TYPE_TCP_DATA_SET
0x0118 Type: 6   Name: DATA_SET_ASM_MESH_AUDIO_GROUPS               flags: 0x00F9 TYPE_TCP_DATA_SET
0x0119 Type: 6   Name: DATA_SET_ASM_MESH_FXS                        flags: 0x00FA TYPE_TCP_DATA_SET
0x011A Type: 6   Name: DATA_SET_ASM_MESH_IMPACT_GRPS                flags: 0x0609 TYPE_TCP_DATA_SET
0x011B Type: 6   Name: DATA_SET_ASM_MESH_MORPH_SETS                 flags: 0x00FB TYPE_TCP_DATA_SET
0x011C Type: 6   Name: DATA_SET_ASSEMBLY_MESHES                     flags: 0x00FC TYPE_TCP_DATA_SET
0x011D Type: 6   Name: DATA_SET_ATTACKERS                           flags: 0x00FD TYPE_TCP_DATA_SET
0x011E Type: 6   Name: DATA_SET_AUCTION_BROWSE_ITEMS                flags: 0x00FE TYPE_TCP_DATA_SET
0x011F Type: 6   Name: DATA_SET_AUCTION_UPDATED_ITEM                flags: 0x00FF TYPE_TCP_DATA_SET
0x0120 Type: 6   Name: DATA_SET_BLUEPRINTS                          flags: 0x0100 TYPE_TCP_DATA_SET
0x0121 Type: 6   Name: DATA_SET_BLUEPRINT_ITEMS                     flags: 0x0101 TYPE_TCP_DATA_SET
0x0122 Type: 6   Name: DATA_SET_BLUEPRINT_ITEM_MODS                 flags: 0x0102 TYPE_TCP_DATA_SET
0x0123 Type: 6   Name: DATA_SET_BLUEPRNT_MOD_EFFECT_GRPS            flags: 0x0103 TYPE_TCP_DATA_SET
0x0124 Type: 6   Name: DATA_SET_BOTS                                flags: 0x0104 TYPE_TCP_DATA_SET
0x0125 Type: 6   Name: DATA_SET_BOT_ACTIONS                         flags: 0x0105 TYPE_TCP_DATA_SET
0x0126 Type: 6   Name: DATA_SET_BOT_ADJUSTMENTS                     flags: 0x010B TYPE_TCP_DATA_SET
0x0127 Type: 6   Name: DATA_SET_BOT_BEHAVIORS                       flags: 0x010C TYPE_TCP_DATA_SET
0x0128 Type: 6   Name: DATA_SET_BOT_BODIES                          flags: 0x010E TYPE_TCP_DATA_SET
0x0129 Type: 6   Name: DATA_SET_BOT_DEVICES                         flags: 0x010F TYPE_TCP_DATA_SET
0x012A Type: 6   Name: DATA_SET_BOT_HEADS                           flags: 0x0110 TYPE_TCP_DATA_SET
0x012B Type: 6   Name: DATA_SET_BOT_MOVEMENTS                       flags: 0x0112 TYPE_TCP_DATA_SET
0x012C Type: 6   Name: DATA_SET_BOT_SPAWN_TABLES                    flags: 0x010D TYPE_TCP_DATA_SET
0x012D Type: 6   Name: DATA_SET_BOT_TESTS                           flags: 0x0111 TYPE_TCP_DATA_SET
0x012E Type: 6   Name: DATA_SET_CHARACTER_EVENTS                    flags: 0x0113 TYPE_TCP_DATA_SET
0x012F Type: 6   Name: DATA_SET_CHARACTER_SKILLS                    flags: 0x0114 TYPE_TCP_DATA_SET
0x0130 Type: 6   Name: DATA_SET_CHAR_ACHIEVEMENTS                   flags: 0x0115 TYPE_TCP_DATA_SET
0x0131 Type: 6   Name: DATA_SET_CHAR_AUCTION_BID_ITEMS              flags: 0x0116 TYPE_TCP_DATA_SET
0x0132 Type: 6   Name: DATA_SET_CHAR_AUCTION_INV_ITEMS              flags: 0x0117 TYPE_TCP_DATA_SET
0x0133 Type: 6   Name: DATA_SET_CHAR_AUCTION_SELL_ITEMS             flags: 0x0118 TYPE_TCP_DATA_SET
0x0134 Type: 6   Name: DATA_SET_CHAR_CRAFTING_SKILLS                flags: 0x0119 TYPE_TCP_DATA_SET
0x0135 Type: 6   Name: DATA_SET_CHAR_CURRENCY_CHANGE                flags: 0x011A TYPE_TCP_DATA_SET
0x0136 Type: 6   Name: DATA_SET_CHAR_MORPH_SETTINGS                 flags: 0x011B TYPE_TCP_DATA_SET
0x0137 Type: 6   Name: DATA_SET_CHAR_PROFILES                       flags: 0x011C TYPE_TCP_DATA_SET
0x0138 Type: 6   Name: DATA_SET_CHAR_PROFILE_ITEMS                  flags: 0x011D TYPE_TCP_DATA_SET
0x0139 Type: 6   Name: DATA_SET_CURRENT_MAP_INST_LIST               flags: 0x011E TYPE_TCP_DATA_SET
0x013A Type: 6   Name: DATA_SET_DEFENDERS                           flags: 0x011F TYPE_TCP_DATA_SET
0x013B Type: 6   Name: DATA_SET_DEPLOYABLES                         flags: 0x05D3 TYPE_TCP_DATA_SET
0x013C Type: 6   Name: DATA_SET_DEPLOYABLE_SENSOR_CONFIGS           flags: 0x0122 TYPE_TCP_DATA_SET
0x013D Type: 6   Name: DATA_SET_DEPLOY_POINT_CONFIGS                flags: 0x0121 TYPE_TCP_DATA_SET
0x013E Type: 6   Name: DATA_SET_DEPLOY_POINT_NODES                  flags: 0x0120 TYPE_TCP_DATA_SET
0x013F Type: 6   Name: DATA_SET_DESTRUCTIBLES                       flags: 0x0123 TYPE_TCP_DATA_SET
0x0140 Type: 6   Name: DATA_SET_DEVICES                             flags: 0x0125 TYPE_TCP_DATA_SET
0x0141 Type: 6   Name: DATA_SET_DEVICES_TF                          flags: 0x0126 TYPE_TCP_DATA_SET
0x0142 Type: 6   Name: DATA_SET_DEVICE_ANIM_SET_GROUPS              flags: 0x0127 TYPE_TCP_DATA_SET
0x0143 Type: 6   Name: DATA_SET_DEVICE_DEPLOY_SENSOR_CONFIG_LIST    flags: 0x0128 TYPE_TCP_DATA_SET
0x0144 Type: 6   Name: DATA_SET_DEVICE_EFFECT_GROUPS                flags: 0x0129 TYPE_TCP_DATA_SET
0x0145 Type: 6   Name: DATA_SET_DEVICE_MODES                        flags: 0x012A TYPE_TCP_DATA_SET
0x0146 Type: 6   Name: DATA_SET_DEVICE_MODE_EFFECT_GROUPS           flags: 0x012B TYPE_TCP_DATA_SET
0x0147 Type: 6   Name: DATA_SET_DEVICE_MODE_PROPERTIES              flags: 0x012C TYPE_TCP_DATA_SET
0x0148 Type: 6   Name: DATA_SET_DEVICE_SLOT_UNLOCK_GRP              flags: 0x012D TYPE_TCP_DATA_SET
0x0149 Type: 6   Name: DATA_SET_DEVICE_SLOT_UNLOCK_LIST             flags: 0x0124 TYPE_TCP_DATA_SET
0x014A Type: 6   Name: DATA_SET_DEVICE_USED_ANIMSETS                flags: 0x0130 TYPE_TCP_DATA_SET
0x014B Type: 6   Name: DATA_SET_DEVICE_USED_RESOURCES               flags: 0x0131 TYPE_TCP_DATA_SET
0x014C Type: 6   Name: DATA_SET_DISTRIBUTION_TYPES                  flags: 0x0132 TYPE_TCP_DATA_SET
0x014D Type: 6   Name: DATA_SET_EFFECTS                             flags: 0x0133 TYPE_TCP_DATA_SET
0x014E Type: 6   Name: DATA_SET_EFFECT_GROUPS                       flags: 0x0134 TYPE_TCP_DATA_SET
0x014F Type: 6   Name: DATA_SET_ERROR_DATA                          flags: 0x0135 TYPE_TCP_DATA_SET
0x0150 Type: 6   Name: DATA_SET_EVENT_REWARDS                       flags: 0x0136 TYPE_TCP_DATA_SET
0x0151 Type: 6   Name: DATA_SET_FLAIR_USED_RESOURCES                flags: 0x0138 TYPE_TCP_DATA_SET
0x0152 Type: 6   Name: DATA_SET_FRIENDS                             flags: 0x0137 TYPE_TCP_DATA_SET
0x0153 Type: 6   Name: DATA_SET_GAME_USED_RESOURCES                 flags: 0x012E TYPE_TCP_DATA_SET
0x0154 Type: 6   Name: DATA_SET_HARDCODED_RESOURCES                 flags: 0x05BA TYPE_TCP_DATA_SET
0x0155 Type: 6   Name: DATA_SET_HAS_ME_AS_FRIEND                    flags: 0x012F TYPE_TCP_DATA_SET
0x0156 Type: 6   Name: DATA_SET_HELPS                               flags: 0x05A1 TYPE_TCP_DATA_SET
0x0157 Type: 6   Name: DATA_SET_HENCHMEN                            flags: 0x0139 TYPE_TCP_DATA_SET
0x0158 Type: 6   Name: DATA_SET_HEX_BUILDINGS                       flags: 0x013A TYPE_TCP_DATA_SET
0x0159 Type: 6   Name: DATA_SET_HEX_TERRITORIES                     flags: 0x013D TYPE_TCP_DATA_SET
0x015A Type: 6   Name: DATA_SET_HEX_TERRITORY_AUCTION               flags: 0x013E TYPE_TCP_DATA_SET
0x015B Type: 6   Name: DATA_SET_HEX_TERRITORY_BONUSES               flags: 0x013C TYPE_TCP_DATA_SET
0x015C Type: 6   Name: DATA_SET_HEX_ZONES                           flags: 0x013B TYPE_TCP_DATA_SET
0x015D Type: 6   Name: DATA_SET_HEX_ZONE_RESOURCES                  flags: 0x013F TYPE_TCP_DATA_SET
0x015E Type: 6   Name: DATA_SET_ICONS                               flags: 0x0142 TYPE_TCP_DATA_SET
0x015F Type: 6   Name: DATA_SET_IMPACT_FX                           flags: 0x0143 TYPE_TCP_DATA_SET
0x0160 Type: 6   Name: DATA_SET_INHANDS                             flags: 0x0144 TYPE_TCP_DATA_SET
0x0161 Type: 6   Name: DATA_SET_INHAND_TF                           flags: 0x0146 TYPE_TCP_DATA_SET
0x0162 Type: 6   Name: DATA_SET_INSTANCE_TYPES                      flags: 0x0147 TYPE_TCP_DATA_SET
0x0163 Type: 6   Name: DATA_SET_INVENTORY_CHANGE                    flags: 0x0145 TYPE_TCP_DATA_SET
0x0164 Type: 6   Name: DATA_SET_INVENTORY_STATE                     flags: 0x0148 TYPE_TCP_DATA_SET
0x0165 Type: 6   Name: DATA_SET_ITEMS                               flags: 0x0149 TYPE_TCP_DATA_SET
0x0166 Type: 6   Name: DATA_SET_ITEM_EFFECT_GROUPS                  flags: 0x014A TYPE_TCP_DATA_SET
0x0167 Type: 6   Name: DATA_SET_ITEM_MESH_ASM_GROUPS                flags: 0x014B TYPE_TCP_DATA_SET
0x0168 Type: 6   Name: DATA_SET_ITEM_PROPS                          flags: 0x0140 TYPE_TCP_DATA_SET
0x0169 Type: 6   Name: DATA_SET_LANGUAGES                           flags: 0x0141 TYPE_TCP_DATA_SET
0x016A Type: 6   Name: DATA_SET_LOOT_TABLES                         flags: 0x014C TYPE_TCP_DATA_SET
0x016B Type: 6   Name: DATA_SET_LOOT_TABLE_ITEMS                    flags: 0x060F TYPE_TCP_DATA_SET
0x016C Type: 6   Name: DATA_SET_MAIL_AUDIT                          flags: 0x014E TYPE_TCP_DATA_SET
0x016D Type: 6   Name: DATA_SET_MAIL_ITEMS                          flags: 0x014D TYPE_TCP_DATA_SET
0x016E Type: 6   Name: DATA_SET_MAIL_ITEM_AUDIT                     flags: 0x05FB TYPE_TCP_DATA_SET
0x016F Type: 6   Name: DATA_SET_MAPTF_SPAWN_BEST                    flags: 0x014F TYPE_TCP_DATA_SET
0x0170 Type: 6   Name: DATA_SET_MAP_CONFIGS                         flags: 0x0150 TYPE_TCP_DATA_SET
0x0171 Type: 6   Name: DATA_SET_MAP_CONFIG_PROPS                    flags: 0x05C1 TYPE_TCP_DATA_SET
0x0172 Type: 6   Name: DATA_SET_MAP_OBJECT_OVERRIDES                flags: 0x05C2 TYPE_TCP_DATA_SET
0x0173 Type: 6   Name: DATA_SET_MAP_PROFILES                        flags: 0x0151 TYPE_TCP_DATA_SET
0x0174 Type: 6   Name: DATA_SET_MAP_TYPES                           flags: 0x056C TYPE_TCP_DATA_SET
0x0175 Type: 6   Name: DATA_SET_MATERIAL_PARAMETERS                 flags: 0x0152 TYPE_TCP_DATA_SET
0x0176 Type: 6   Name: DATA_SET_MATERIAL_RESOURCES                  flags: 0x0153 TYPE_TCP_DATA_SET
0x0177 Type: 6   Name: DATA_SET_MAT_RES_GROUPS                      flags: 0x0154 TYPE_TCP_DATA_SET
0x0178 Type: 6   Name: DATA_SET_MAT_RES_PARAMS                      flags: 0x0155 TYPE_TCP_DATA_SET
0x0179 Type: 6   Name: DATA_SET_MEMBERS                             flags: 0x05B4 TYPE_TCP_DATA_SET
0x017A Type: 6   Name: DATA_SET_MSG_TRANSLATIONS                    flags: 0x0156 TYPE_TCP_DATA_SET
0x017B Type: 6   Name: DATA_SET_OBJECTIVES                          flags: 0x0157 TYPE_TCP_DATA_SET
0x017C Type: 6   Name: DATA_SET_OBJECTIVE_BOTS                      flags: 0x0158 TYPE_TCP_DATA_SET
0x017D Type: 6   Name: DATA_SET_OBJECTIVE_BOT_RESOURCES             flags: 0x0159 TYPE_TCP_DATA_SET
0x017E Type: 6   Name: DATA_SET_OBJECTIVE_PROPS                     flags: 0x015A TYPE_TCP_DATA_SET
0x017F Type: 6   Name: DATA_SET_PLAYER_ACHIEVEMENTS                 flags: 0x015B TYPE_TCP_DATA_SET
0x0180 Type: 6   Name: DATA_SET_PLAYER_INVENTORY                    flags: 0x015D TYPE_TCP_DATA_SET
0x0181 Type: 6   Name: DATA_SET_PLAYER_PART_MESHES                  flags: 0x015C TYPE_TCP_DATA_SET
0x0182 Type: 6   Name: DATA_SET_PLAYER_PART_USED_RESOURCES          flags: 0x015E TYPE_TCP_DATA_SET
0x0183 Type: 6   Name: DATA_SET_PLAYER_PERMISSIONS                  flags: 0x015F TYPE_TCP_DATA_SET
0x0184 Type: 6   Name: DATA_SET_PLAYER_PROMOTIONS                   flags: 0x0161 TYPE_TCP_DATA_SET
0x0185 Type: 6   Name: DATA_SET_PLAYER_USED_RESOURCES               flags: 0x0160 TYPE_TCP_DATA_SET
0x0186 Type: 6   Name: DATA_SET_PRIVATE                             flags: 0x0162 TYPE_TCP_DATA_SET
0x0187 Type: 6   Name: DATA_SET_PRODUCTION_DEVICES                  flags: 0x0163 TYPE_TCP_DATA_SET
0x0188 Type: 6   Name: DATA_SET_PRODUCTION_FLAIRS                   flags: 0x0164 TYPE_TCP_DATA_SET
0x0189 Type: 6   Name: DATA_SET_PRODUCTION_MAP_GAME_LIST            flags: 0x0166 TYPE_TCP_DATA_SET
0x018A Type: 6   Name: DATA_SET_PRODUCTION_QUEUE                    flags: 0x0167 TYPE_TCP_DATA_SET
0x018B Type: 6   Name: DATA_SET_PROFILE_COUNTS                      flags: 0x0168 TYPE_TCP_DATA_SET
0x018C Type: 6   Name: DATA_SET_PROJECTILES                         flags: 0x0165 TYPE_TCP_DATA_SET
0x018D Type: 6   Name: DATA_SET_PROPERTIES                          flags: 0x0169 TYPE_TCP_DATA_SET
0x018E Type: 6   Name: DATA_SET_QUESTS                              flags: 0x0576 TYPE_TCP_DATA_SET
0x018F Type: 6   Name: DATA_SET_QUEST_GROUPS                        flags: 0x0575 TYPE_TCP_DATA_SET
0x0190 Type: 6   Name: DATA_SET_QUEST_GROUP_LISTS                   flags: 0x016B TYPE_TCP_DATA_SET
0x0191 Type: 6   Name: DATA_SET_QUEST_PREREQUISITES                 flags: 0x016A TYPE_TCP_DATA_SET
0x0192 Type: 6   Name: DATA_SET_QUEST_REQUIREMENTS                  flags: 0x016C TYPE_TCP_DATA_SET
0x0193 Type: 6   Name: DATA_SET_RANKS                               flags: 0x016E TYPE_TCP_DATA_SET
0x0194 Type: 6   Name: DATA_SET_RESOURCES                           flags: 0x016D TYPE_TCP_DATA_SET
0x0195 Type: 6   Name: DATA_SET_SECURING                            flags: 0x0171 TYPE_TCP_DATA_SET
0x0196 Type: 6   Name: DATA_SET_SELECTION_ITEMS                     flags: 0x0170 TYPE_TCP_DATA_SET
0x0197 Type: 6   Name: DATA_SET_SELECTION_LISTS                     flags: 0x0172 TYPE_TCP_DATA_SET
0x0198 Type: 6   Name: DATA_SET_SKILL_EFFECT_GROUPS                 flags: 0x0173 TYPE_TCP_DATA_SET
0x0199 Type: 6   Name: DATA_SET_SKILL_GROUPS                        flags: 0x0174 TYPE_TCP_DATA_SET
0x019A Type: 6   Name: DATA_SET_SKILL_GROUP_RANKS                   flags: 0x016F TYPE_TCP_DATA_SET
0x019B Type: 6   Name: DATA_SET_SKILL_GROUP_SETS                    flags: 0x0177 TYPE_TCP_DATA_SET
0x019C Type: 6   Name: DATA_SET_SKILL_GROUP_SET_GROUPS              flags: 0x0178 TYPE_TCP_DATA_SET
0x019D Type: 6   Name: DATA_SET_SKILL_GROUP_SKILLS                  flags: 0x0175 TYPE_TCP_DATA_SET
0x019E Type: 6   Name: DATA_SET_SOUND_CUES                          flags: 0x0176 TYPE_TCP_DATA_SET
0x019F Type: 6   Name: DATA_SET_SPECIAL_FX                          flags: 0x0179 TYPE_TCP_DATA_SET
0x01A0 Type: 6   Name: DATA_SET_SPECIAL_FX_MATERIALS                flags: 0x017A TYPE_TCP_DATA_SET
0x01A1 Type: 6   Name: DATA_SET_SPECIAL_FX_PSC                      flags: 0x017D TYPE_TCP_DATA_SET
0x01A2 Type: 6   Name: DATA_SET_SPECIAL_FX_SOUNDS                   flags: 0x017C TYPE_TCP_DATA_SET
0x01A3 Type: 6   Name: DATA_SET_SPECTATING                          flags: 0x017E TYPE_TCP_DATA_SET
0x01A4 Type: 6   Name: DATA_SET_STATS_BOT_HEALING                   flags: 0x017B TYPE_TCP_DATA_SET
0x01A5 Type: 6   Name: DATA_SET_STATS_BUFFS                         flags: 0x05BE TYPE_TCP_DATA_SET
0x01A6 Type: 6   Name: DATA_SET_STATS_DEBUFFS                       flags: 0x017F TYPE_TCP_DATA_SET
0x01A7 Type: 6   Name: DATA_SET_STATS_DIST                          flags: 0x0180 TYPE_TCP_DATA_SET
0x01A8 Type: 6   Name: DATA_SET_STATS_DMG_BOT_APP                   flags: 0x0181 TYPE_TCP_DATA_SET
0x01A9 Type: 6   Name: DATA_SET_STATS_DMG_BOT_SUM                   flags: 0x0182 TYPE_TCP_DATA_SET
0x01AA Type: 6   Name: DATA_SET_STATS_DMG_PLAYER_APP                flags: 0x0183 TYPE_TCP_DATA_SET
0x01AB Type: 6   Name: DATA_SET_STATS_DMG_PLAYER_SUM                flags: 0x0184 TYPE_TCP_DATA_SET
0x01AC Type: 6   Name: DATA_SET_STATS_FIRES                         flags: 0x05CA TYPE_TCP_DATA_SET
0x01AD Type: 6   Name: DATA_SET_STATS_FROM_PLAYER_DEATHS            flags: 0x0185 TYPE_TCP_DATA_SET
0x01AE Type: 6   Name: DATA_SET_STATS_HEALING                       flags: 0x05F4 TYPE_TCP_DATA_SET
0x01AF Type: 6   Name: DATA_SET_STATS_HITS                          flags: 0x0186 TYPE_TCP_DATA_SET
0x01B0 Type: 6   Name: DATA_SET_STATS_KILLED_BOTS                   flags: 0x0187 TYPE_TCP_DATA_SET
0x01B1 Type: 6   Name: DATA_SET_STATS_KILLED_PLAYERS                flags: 0x0188 TYPE_TCP_DATA_SET
0x01B2 Type: 6   Name: DATA_SET_STATS_OBJECTIVES                    flags: 0x0189 TYPE_TCP_DATA_SET
0x01B3 Type: 6   Name: DATA_SET_STATS_PLAYER_DIST                   flags: 0x018A TYPE_TCP_DATA_SET
0x01B4 Type: 6   Name: DATA_SET_STATS_PLAYER_HITS                   flags: 0x018B TYPE_TCP_DATA_SET
0x01B5 Type: 6   Name: DATA_SET_STATS_RELEASE_TIMES                 flags: 0x018C TYPE_TCP_DATA_SET
0x01B6 Type: 6   Name: DATA_SET_STATS_SELF_DMG_APP                  flags: 0x018D TYPE_TCP_DATA_SET
0x01B7 Type: 6   Name: DATA_SET_STATS_SELF_DMG_SUM                  flags: 0x0190 TYPE_TCP_DATA_SET
0x01B8 Type: 6   Name: DATA_SET_STATS_SELF_KILLS                    flags: 0x018F TYPE_TCP_DATA_SET
0x01B9 Type: 6   Name: DATA_SET_STATS_TEAM_DMG_APP                  flags: 0x0191 TYPE_TCP_DATA_SET
0x01BA Type: 6   Name: DATA_SET_STATS_TEAM_DMG_SUM                  flags: 0x0568 TYPE_TCP_DATA_SET
0x01BB Type: 6   Name: DATA_SET_STATS_TEAM_KILLS                    flags: 0x0192 TYPE_TCP_DATA_SET
0x01BC Type: 6   Name: DATA_SET_STRIKE_FORCE_INVENTORY              flags: 0x018E TYPE_TCP_DATA_SET
0x01BD Type: 6   Name: DATA_SET_SUB_SKILLS                          flags: 0x0193 TYPE_TCP_DATA_SET
0x01BE Type: 6   Name: DATA_SET_TASKFORCES                          flags: 0x0194 TYPE_TCP_DATA_SET
0x01BF Type: 6   Name: DATA_SET_TEAM_MEMBERS                        flags: 0x0195 TYPE_TCP_DATA_SET
0x01C0 Type: 6   Name: DATA_SET_TERRITORY_RESOURCES                 flags: 0x0196 TYPE_TCP_DATA_SET
0x01C1 Type: 6   Name: DATA_SET_TIPS                                flags: 0x0197 TYPE_TCP_DATA_SET
0x01C2 Type: 6   Name: DATA_SET_TRANSFER                            flags: 0x0198 TYPE_TCP_DATA_SET
0x01C3 Type: 6   Name: DATA_SET_UI_VOLUMES                          flags: 0x019A TYPE_TCP_DATA_SET
0x01C4 Type: 6   Name: DATA_SET_VALID_VALUES                        flags: 0x019C TYPE_TCP_DATA_SET
0x01C5 Type: 6   Name: DATA_SET_VISIBILITY_CONFIGS                  flags: 0x019B TYPE_TCP_DATA_SET
0x01C6 Type: 6   Name: DATA_SET_VOIP_CHANNELS                       flags: 0x019D TYPE_TCP_DATA_SET
0x01C7 Type: 6   Name: DATA_SET_VOIP_USERS                          flags: 0x0199 TYPE_TCP_DATA_SET
0x01C8 Type: 6   Name: DATA_SET_WORLD_OBJECTS                       flags: 0x019E TYPE_TCP_DATA_SET
0x01C9 Type: 6   Name: DATA_SET_WORLD_OBJECT_RESOURCES              flags: 0x019F TYPE_TCP_DATA_SET
0x01CA Type: 6   Name: DATA_SET_XP_CAPS                             flags: 0x01A0 TYPE_TCP_DATA_SET
0x01CB Type: 6   Name: DATA_SET_XP_LEVELS                           flags: 0x01A1 TYPE_TCP_DATA_SET
0x01CC Type: 6   Name: DATA_SET_ZONE_REGIONS                        flags: 0x01A2 TYPE_TCP_DATA_SET
0x01CD Type: 0   Name: DATE_END                                     flags: 0x01A3 TYPE_TCP_WCHAR_STR
0x01CE Type: 0   Name: DATE_START                                   flags: 0x01A4 TYPE_TCP_WCHAR_STR
0x01CF Type: 0   Name: DB_CONN_STRING                               flags: 0x01A5 TYPE_TCP_WCHAR_STR
0x01D0 Type: 3   Name: DB_FUNCTION                                  flags: 0x01A6 TYPE_TCP_UINT32
0x01D1 Type: 0   Name: DB_HOST                                      flags: 0x01A7 TYPE_TCP_WCHAR_STR
0x01D2 Type: 3   Name: DB_IDENTIFIER                                flags: 0x01A8 TYPE_TCP_UINT32
0x01D3 Type: 3   Name: DEATHS                                       flags: 0x01A9 TYPE_TCP_UINT32
0x01D4 Type: 1   Name: DEATHS_PER_MIN_AVG                           flags: 0x01AA TYPE_TCP_FLOAT
0x01D5 Type: 3   Name: DEATH_FX_ID                                  flags: 0x01AB TYPE_TCP_UINT32
0x01D6 Type: 3   Name: DEBUFF_COUNT                                 flags: 0x01AC TYPE_TCP_UINT32
0x01D7 Type: 1   Name: DECAL_HEIGHT                                 flags: 0x01AD TYPE_TCP_FLOAT
0x01D8 Type: 3   Name: DECAL_MATERIAL_RES_ID                        flags: 0x01AE TYPE_TCP_UINT32
0x01D9 Type: 0   Name: DECAL_RANDOM_ROTATION_FLAG                   flags: 0x01AF TYPE_TCP_WCHAR_STR
0x01DA Type: 1   Name: DECAL_WIDTH                                  flags: 0x01B0 TYPE_TCP_FLOAT
0x01DB Type: 3   Name: DECOY_MOVEMENT_TYPE_VALUE_ID                 flags: 0x01B1 TYPE_TCP_UINT32
0x01DC Type: 3   Name: DEFAULT_AGENCY_MAP_GAME_ID                   flags: 0x01B2 TYPE_TCP_UINT32
0x01DD Type: 3   Name: DEFAULT_AGGRO_RANGE                          flags: 0x01B3 TYPE_TCP_UINT32
0x01DE Type: 3   Name: DEFAULT_HELP_RANGE                           flags: 0x01B4 TYPE_TCP_UINT32
0x01DF Type: 3   Name: DEFAULT_HEX_BUILDING_ID                      flags: 0x01B5 TYPE_TCP_UINT32
0x01E0 Type: 3   Name: DEFAULT_MAP_GAME_ID                          flags: 0x01B6 TYPE_TCP_UINT32
0x01E1 Type: 3   Name: DEFAULT_MATCH_ROTATION_LIST_ID               flags: 0x01B7 TYPE_TCP_UINT32
0x01E2 Type: 3   Name: DEFAULT_POSTURE_VALUE_ID                     flags: 0x01B8 TYPE_TCP_UINT32
0x01E3 Type: 3   Name: DEFAULT_POWER_POOL                           flags: 0x01B9 TYPE_TCP_UINT32
0x01E4 Type: 1   Name: DEFAULT_SENSOR_RANGE                         flags: 0x01BA TYPE_TCP_FLOAT
0x01E5 Type: 3   Name: DEFAULT_SLOT_VALUE_ID                        flags: 0x01BB TYPE_TCP_UINT32
0x01E6 Type: 1   Name: DEFAULT_SPEED                                flags: 0x01BC TYPE_TCP_FLOAT
0x01E7 Type: 5   Name: DEFENDING_FLAG                               flags: 0x01BD TYPE_TCP_UINT8
0x01E8 Type: 3   Name: DEFEND_ALLIANCE_ID                           flags: 0x01BE TYPE_TCP_UINT32
0x01E9 Type: 3   Name: DEFEND_COUNT                                 flags: 0x01BF TYPE_TCP_UINT32
0x01EA Type: 3   Name: DEFEND_MAP_GAME_ID                           flags: 0x01C0 TYPE_TCP_UINT32
0x01EB Type: 3   Name: DEFEND_STRIKE_FORCE_ID                       flags: 0x01C1 TYPE_TCP_UINT32
0x01EC Type: 3   Name: DEFEND_TEAM_NUMBER                           flags: 0x01C2 TYPE_TCP_UINT32
